id_ville;ville;code_postal
262;Pérouges;1800
263;Perrex;1540
264;Le Petit-Abergement;1260
265;Peyriat;1430
266;Peyrieu;1300
267;Peyzieux-sur-Saône;1140
268;Pirajoux;1270
269;Pizay;1120
270;Plagne;1130
271;Le Plantay;1330
272;Le Poizat;1130
273;Polliat;1310
274;Pollieu;1350
275;Poncin;1450
276;Pont-d'Ain;1160
277;Pont-de-Vaux;1190
278;Pont-de-Veyle;1290
279;Port;1460
280;Pougny;1550
281;Pouillat;1250
282;Prémeyzel;1300
283;Prémillieu;1110
284;Pressiat;1370
285;Prévessin-Moëns;1280
286;Priay;1160
287;Pugieu;1510
288;Ramasse;1250
289;Rancé;1390
290;Relevant;1990
291;Replonges;1750
292;Revonnas;1250
293;Reyrieux;1600
294;Reyssouze;1190
295;Rignieux-le-Franc;1800
296;Romans;1400
297;Rossillon;1510
298;Ruffieu;1260
299;Saint-Alban;1450
300;Saint-André-de-Bâgé;1380
301;Saint-André-de-Corcy;1390
302;Saint-André-d'Huiriat;1290
303;Saint-André-le-Bouchoux;1240
304;Saint-André-sur-Vieux-Jonc;1960
305;Saint-Bénigne;1190
306;Saint-Benoît;1300
307;Saint-Bernard;1600
308;Saint-Bois;1300
309;Saint-Champ;1300
310;Sainte-Croix;1120
311;Saint-Cyr-sur-Menthon;1380
312;Saint-Denis-lès-Bourg;1000
313;Saint-Denis-en-Bugey;1500
314;Saint-Didier-d'Aussiat;1340
315;Saint-Didier-de-Formans;1600
316;Saint-Didier-sur-Chalaronne;1140
317;Saint-Éloi;1800
318;Saint-Étienne-du-Bois;1370
319;Saint-Étienne-sur-Chalaronne;1140
320;Saint-Étienne-sur-Reyssouze;1190
321;Sainte-Euphémie;1600
322;Saint-Genis-Pouilly;1630
323;Saint-Genis-sur-Menthon;1380
324;Saint-Georges-sur-Renon;1400
325;Saint-Germain-de-Joux;1130
326;Saint-Germain-les-Paroisses;1300
327;Saint-Germain-sur-Renon;1240
328;Saint-Jean-de-Gonville;1630
329;Saint-Jean-de-Niost;1800
330;Saint-Jean-de-Thurigneux;1390
331;Saint-Jean-le-Vieux;1640
332;Saint-Jean-sur-Reyssouze;1560
333;Saint-Jean-sur-Veyle;1290
334;Sainte-Julie;1150
335;Saint-Julien-sur-Reyssouze;1560
336;Saint-Julien-sur-Veyle;1540
337;Saint-Just;1250
338;Saint-Laurent-sur-Saône;1750
339;Saint-Marcel;1390
340;Saint-Martin-de-Bavel;1510
341;Saint-Martin-du-Frêne;1430
342;Saint-Martin-du-Mont;1160
343;Saint-Martin-le-Châtel;1310
344;Saint-Maurice-de-Beynost;1700
345;Saint-Maurice-de-Gourdans;1800
346;Saint-Maurice-de-Rémens;1500
347;Saint-Nizier-le-Bouchoux;1560
348;Saint-Nizier-le-Désert;1320
349;Sainte-Olive;1330
350;Saint-Paul-de-Varax;1240
351;Saint-Rambert-en-Bugey;1230
352;Saint-Rémy;1310
353;Saint-Sorlin-en-Bugey;1150
354;Saint-Sulpice;1340
355;Saint-Trivier-de-Courtes;1560
356;Saint-Trivier-sur-Moignans;1990
357;Saint-Vulbas;1150
358;Salavre;1270
359;Samognat;1580
360;Sandrans;1400
361;Sault-Brénaz;1150
362;Sauverny;1220
363;Savigneux;1480
364;Ségny;1170
365;Seillonnaz;1470
366;Sergy;1630
367;Sermoyer;1190
368;Serrières-de-Briord;1470
369;Serrières-sur-Ain;1450
370;Servas;1960
371;Servignat;1560
372;Seyssel;1420
373;Simandre-sur-Suran;1250
374;Songieu;1260
375;Sonthonnax-la-Montagne;1580
376;Souclin;1150
377;Sulignat;1400
378;Surjoux;1420
379;Sutrieu;1260
380;Talissieu;1510
381;Tenay;1230
382;Thézillieu;1110
383;Thil;1120
384;Thoiry;1710
385;Thoissey;1140
386;Torcieu;1230
387;Tossiat;1250
388;Toussieux;1600
389;Tramoyes;1390
390;La Tranclière;1160
391;Treffort-Cuisiat;1370
392;Trévoux;1600
393;Valeins;1140
394;Vandeins;1660
395;Varambon;1160
396;Vaux-en-Bugey;1150
397;Verjon;1270
398;Vernoux;1560
399;Versailleux;1330
400;Versonnex;1210
401;Vesancy;1170
402;Vescours;1560
403;Vésines;1570
404;Vieu-d'Izenave;1430
405;Vieu;1260
406;Villars-les-Dombes;1330
407;Villebois;1150
408;Villemotier;1270
409;Villeneuve;1480
410;Villereversure;1250
411;Villes;1200
412;Villette-sur-Ain;1320
413;Villieu-Loyes-Mollon;1800
414;Viriat;1440
415;Virieu-le-Grand;1510
416;Virieu-le-Petit;1260
417;Virignin;1300
418;Vongnes;1350
419;Vonnas;1540
420;Abbécourt;2300
421;Achery;2800
422;Acy;2200
423;Agnicourt-et-Séchelles;2340
424;Aguilcourt;2190
425;Aisonville-et-Bernoville;2110
426;Aizelles;2820
427;Aizy-Jouy;2370
428;Alaincourt;2240
429;Allemant;2320
430;Ambleny;2290
431;Ambrief;2200
432;Amifontaine;2190
433;Amigny-Rouy;2700
434;Ancienville;2600
435;Andelain;2800
436;Anguilcourt-le-Sart;2800
437;Anizy-le-Château;2320
438;Annois;2480
439;Any-Martin-Rieux;2500
440;Archon;2360
441;Arcy-Sainte-Restitue;2130
442;Armentières-sur-Ourcq;2210
443;Arrancy;2860
444;Artemps;2480
445;Artonges;2330
446;Assis-sur-Serre;2270
447;Athies-sous-Laon;2840
448;Attilly;2490
449;Aubencheul-aux-Bois;2420
450;Aubenton;2500
451;Aubigny-aux-Kaisnes;2590
452;Aubigny-en-Laonnois;2820
453;Audignicourt;2300
454;Audigny;2120
455;Augy;2220
456;Aulnois-sous-Laon;2000
457;Les Autels;2360
458;Autremencourt;2250
459;Autreppes;2580
460;Autreville;2300
461;Azy-sur-Marne;2400
462;Bagneux;2290
463;Bancigny;2140
464;Barenton-Bugny;2000
465;Barenton-Cel;2000
466;Barenton-sur-Serre;2270
467;Barisis;2700
468;Barzy-en-Thiérache;2170
469;Barzy-sur-Marne;2850
470;Bassoles-Aulers;2380
471;Baulne-en-Brie;2330
472;Bazoches-sur-Vesles;2220
473;Beaumé;2500
474;Beaumont-en-Beine;2300
475;Beaurevoir;2110
476;Beaurieux;2160
477;Beautor;2800
478;Beauvois-en-Vermandois;2590
479;Becquigny;2110
480;Belleau;2400
481;Bellenglise;2420
482;Belleu;2200
483;Bellicourt;2420
484;Benay;2440
485;Bergues-sur-Sambre;2450
486;Berlancourt;2250
487;Berlise;2340
488;Bernot;2120
489;Berny-Rivière;2290
490;Berrieux;2820
491;Berry-au-Bac;2190
492;Bertaucourt-Epourdon;2800
493;Berthenicourt;2240
494;Bertricourt;2190
495;Berzy-le-Sec;2200
496;Besmé;2300
497;Besmont;2500
498;Besny-et-Loizy;2870
499;Béthancourt-en-Vaux;2300
500;Beugneux;2210
501;Beuvardes;2130
502;Bézu-le-Guéry;2310
503;Bézu-Saint-Germain;2400
504;Bichancourt;2300
505;Bieuxy;2290
506;Bièvres;2860
507;Billy-sur-Aisne;2200
508;Billy-sur-Ourcq;2210
509;Blanzy-lès-Fismes;2160
510;Blérancourt;2300
511;Blesmes;2400
512;Bohain-en-Vermandois;2110
513;Bois-lès-Pargny;2270
514;Boncourt;2350
515;Bonneil;2400
516;Bonnesvalyn;2400
517;Bony;2420
518;Bosmont-sur-Serre;2250
519;Bouconville-Vauclair;2860
520;Boué;2450
521;Bouffignereux;2160
522;Bouresches;2400
523;Bourg-et-Comin;2160
524;Bourguignon-sous-Coucy;2300
525;Bourguignon-sous-Montbavin;2000
526;La Bouteille;2140
527;Braine;2220
528;Brancourt-en-Laonnois;2320
529;Brancourt-le-Grand;2110
530;Brasles;2400
531;Braye-en-Laonnois;2000
532;Braye-en-Thiérache;2140
533;Bray-Saint-Christophe;2480
534;Braye;2880
535;Brécy;2210
536;Brenelle;2220
537;Breny;2210
538;Brie;2870
539;Brissay-Choigny;2240
540;Brissy-Hamégicourt;2240
541;Brumetz;2810
542;Brunehamel;2360
543;Bruyères-sur-Fère;2130
544;Bruyères-et-Montbérault;2860
545;Bruys;2220
546;Bucilly;2500
547;Bucy-le-Long;2880
548;Bucy-lès-Cerny;2870
549;Bucy-lès-Pierrepont;2350
550;Buire;2500
551;Buironfosse;2620
552;Burelles;2140
553;Bussiares;2810
554;Buzancy;2200
555;Caillouël-Crépigny;2300
556;Camelin;2300
557;La Capelle;2260
558;Castres;2680
559;Le Catelet;2420
560;Caulaincourt;2490
561;Caumont;2300
562;Celles-lès-Condé;2330
563;La Celle-sous-Montmirail;2540
564;Celles-sur-Aisne;2370
565;Cerizy;2240
566;Cerny-en-Laonnois;2860
567;Cerny-lès-Bucy;2870
568;Cerseuil;2220
569;Cessières;2320
570;Chacrise;2200
571;Chaillevois;2000
572;Chalandry;2270
573;Chambry;2000
574;Chamouille;2860
575;Champs;2670
576;Chaourse;2340
577;La Chapelle-Monthodon;2330
578;La Chapelle-sur-Chézy;2570
579;Charly-sur-Marne;2310
580;Le Charmel;2850
581;Charmes;2800
582;Chartèves;2400
583;Chassemy;2370
584;Château-Thierry;2400
585;Châtillon-lès-Sons;2270
586;Châtillon-sur-Oise;2240
587;Chaudardes;2160
588;Chaudun;2200
589;Chauny;2300
590;Chavignon;2000
591;Chavigny;2880
592;Chavonne;2370
593;Chérêt;2860
594;Chermizy-Ailles;2860
595;Chéry-Chartreuve;2220
596;Chéry-lès-Pouilly;2000
597;Chéry-lès-Rozoy;2360
598;Chevennes;2250
599;Chevregny;2000
600;Chevresis-Monceau;2270
