id_vile;ville;code_postal
229;SECONDIGNE SUR BELLE;79170
230;THENEZAY;79390
231;VANCAIS;79120
232;LE VANNEAU IRLEAU;79270
233;VAUSSEROUX;79420
234;VOUHE;79310
235;ACHEUX EN AMIENOIS;80560
236;AILLY LE HAUT CLOCHER;80690
237;ALLAINES;80200
238;ARGUEL;80140
239;ARRY;80120
240;ATHIES;80200
241;AVELESGES;80270
242;BARLY;80600
243;BEAUCAMPS LE VIEUX;80430
244;BEAUMETZ;80370
245;BEHEN;80870
246;BELLEUSE;80160
247;BERMESNIL;80140
248;BERNATRE;80370
249;BERTEAUCOURT LES DAMES;80850
250;BERTRANCOURT;80560
251;BETHENCOURT SUR SOMME;80190
252;BETTENCOURT ST OUEN;80610
253;BEUVRAIGNES;80700
254;BILLANCOURT;80190
255;LE BOISLE;80150
256;BOISMONT;80230
257;BONNAY;80800
258;BOUCHON;80830
259;BOUGAINVILLE;80540
260;BOUSSICOURT;80500
261;BOUTTENCOURT;80220
262;BOUVINCOURT EN VERMANDOIS;80200
263;BOUZINCOURT;80300
264;BOVELLES;80540
265;BUIRE COURCELLES;80200
266;BUS LES ARTOIS;80560
267;BUSSU;80200
268;BUSSY LES DAOURS;80800
269;BUSSY LES POIX;80290
270;CAMBRON;80132
271;CAMPS EN AMIENOIS;80540
272;CANCHY;80150
273;CARREPUIS;80700
274;CAVILLON;80310
275;CHAULNES;80320
276;CHAUSSOY EPAGNY;80250
277;LA CHAVATTE;80700
278;CLAIRY SAULCHOIX;80540
279;CONTY;80160
280;CONTY;80160
281;COTTENCHY;80440
282;COULLEMELLE;80250
283;COULONVILLERS;80135
284;COURCELLES AU BOIS;80560
285;CREMERY;80700
286;CRESSY OMENCOURT;80190
287;CURCHY;80190
288;DANCOURT POPINCOURT;80700
289;DOMESMONT;80370
290;DOMMARTIN;80440
291;DOMQUEUR;80620
292;DOMVAST;80150
293;DRUCAT;80132
294;L ECHELLE ST AURIN;80700
295;EMBREVILLE;80570
296;ENGLEBELMER;80300
297;ENNEMAIN;80200
298;EPAGNE EPAGNETTE;80580
299;EPECAMPS;80370
300;EQUANCOURT;80360
301;MIRANDE;32300
302;MIREPOIX;32390
303;MONBLANC;32130
304;MONCLAR SUR LOSSE;32300
305;MONFERRAN PLAVES;32260
306;MONGAUSY;32220
307;MONGUILHEM;32240
308;MONLAUR BERNET;32140
309;MONLEZUN;32230
310;MONTADET;32220
311;MORMES;32240
312;NOULENS;32800
313;PANJAS;32110
314;PEBEES;32130
315;PERCHEDE;32460
316;PERGAIN TAILLAC;32700
317;PEYRUSSE GRANDE;32320
318;PIS;32500
319;PLIEUX;32340
320;POMPIAC;32130
321;POUYLEBON;32320
322;POUY ROQUELAURE;32480
323;PRECHAC SUR ADOUR;32160
324;PUYCASQUIER;32120
325;REJAUMONT;32390
326;RISCLE;32400
327;LA ROMIEU;32480
328;ROQUELAURE ST AUBIN;32430
329;SABAILLAN;32420
330;ST ANTOINE;32340
331;STE AURENCE CAZAUX;32300
332;ST ELIX THEUX;32300
333;ST GEORGES;32430
334;ST GERMIER;32200
335;ST LOUBE;32220
336;ST MARTIN GIMOIS;32450
337;ST ORENS POUY PETIT;32100
338;ST PIERRE D AUBEZIES;32290
339;ST PUY;32310
340;SALLES D ARMAGNAC;32370
341;SAMARAN;32140
342;SANSAN;32260
343;SARRAGUZAN;32170
344;LA SAUVETAT;32500
345;SAUVIMONT;32220
346;SCIEURAC ET FLOURES;32230
347;SEAILLES;32190
348;SEISSAN;32260
349;SEMBOUES;32230
350;SEREMPUY;32120
351;SION;32110
352;TARSAC;32400
353;TOUJOUSE;32240
354;VIC FEZENSAC;32190
355;VILLECOMTAL SUR ARROS;32730
356;VILLEFRANCHE;32420
357;VIOZAN;32300
358;ARBIS;33760
359;LES ARTIGUES DE LUSSAC;33570
360;ARVEYRES;33500
361;AUROS;33124
362;AVENSAN;33480
363;BAURECH;33880
364;BAYON SUR GIRONDE;33710
365;BEAUTIRAN;33640
366;BEGADAN;33340
367;BEGLES;33130
368;BELIN BELIET;33830
369;BELIN BELIET;33830
370;BELLEBAT;33760
371;BERSON;33390
372;LES BILLAUX;33500
373;BLASIMON;33540
374;BONZAC;33910
375;BOSSUGAN;33350
376;LE BOUSCAT;33110
377;BROUQUEYRAN;33124
378;CAMIAC ET ST DENIS;33420
379;CAMPS SUR L ISLE;33660
380;CASTRES GIRONDE;33640
381;CAUDROT;33490
382;CENAC;33360
383;CERONS;33720
384;COMPS;33710
385;COUQUEQUES;33340
386;CROIGNON;33750
387;CUBNEZAIS;33620
388;DAUBEZE;33540
389;DONNEZAC;33860
390;DONZAC;33410
391;ESCAUDES;33840
392;ESPIET;33420
393;FONTET;33190
394;FOSSES ET BALEYSSAC;33190
395;FRANCS;33570
396;FRONSAC;33126
397;GANS;33430
398;GISCOS;33840
399;GRADIGNAN;33170
400;GRAYAN ET L HOPITAL;33590
401;VILLIERS LE PRE;50240
402;VIRANDEVILLE;50690
403;YVETOT BOCAGE;50700
404;AMBONNAY;51150
405;AMBRIERES;51290
406;ARCIS LE PONSART;51170
407;ARGERS;51800
408;ARZILLIERES NEUVILLE;51290
409;AULNAY L AITRE;51240
410;AUMENANCOURT;51110
411;AUVE;51800
412;AVENAY VAL D OR;51160
413;AVIZE;51190
414;BANNAY;51270
415;BASSU;51300
416;BETHENIVILLE;51490
417;BETHON;51260
418;BLAISE SOUS ARZILLIERES;51300
419;BOURGOGNE;51110
420;BRANDONVILLERS;51290
421;BRANSCOURT;51140
422;BRAUX ST REMY;51800
423;BROYES;51120
424;BRUGNY VAUDANCOURT;51530
425;LE BUISSON;51300
426;CHAMPFLEURY;51500
427;CHAMPGUYON;51310
428;CHAMPIGNY;51370
429;CHARLEVILLE;51120
430;CHARMONT;51330
431;CHATRICES;51800
432;COMPERTRIX;51510
433;CONNANTRAY VAUREFROY;51230
434;CORBEIL;51320
435;CORFELIX;51210
436;CORROY;51230
437;COULOMMES LA MONTAGNE;51390
438;COUPEVILLE;51240
439;COURCEMAIN;51260
440;COURCY;51220
441;COURLANDON;51170
442;COURTHIEZY;51700
443;CUMIERES;51480
444;CUPERLY;51400
445;DIZY;51530
446;DOMMARTIN DAMPIERRE;51800
447;DROSNAY;51290
448;ECLAIRES;51800
449;ECRIENNES;51300
450;ECURY LE REPOS;51230
451;ESTERNAY;51310
452;ETREPY;51340
453;FEREBRIANGES;51270
454;FERE CHAMPENOISE;51230
455;LA FORESTIERE;51120
456;FROMENTIERES;51210
457;GIFFAUMONT CHAMPAUBERT;51290
458;GIVRY EN ARGONNE;51330
459;GOURGANCON;51230
460;LES GRANDES LOGES;51400
461;GUEUX;51390
462;HAUTVILLERS;51160
463;HUIRON;51300
464;HUMBAUVILLE;51320
465;JONCHERY SUR VESLE;51140
466;JONQUERY;51700
467;LANDRICOURT;51290
468;LEUVRIGNY;51700
469;LOISY EN BRIE;51130
470;LOISY SUR MARNE;51300
471;LUDES;51500
472;MAFFRECOURT;51800
473;MAISONS EN CHAMPAGNE;51300
474;MARCILLY SUR SEINE;51260
475;MARGERIE HANCOURT;51290
476;MARSANGIS;51260
477;MATIGNICOURT GONCOURT;51300
478;LE MEIX TIERCELIN;51320
479;MINAUCOURT LE MESNIL LES HURLUS;51800
480;MOIREMONT;51800
481;MONTHELON;51530
482;MORANGIS;51530
483;MOUSSY;51530
484;LA NEUVILLE AUX BOIS;51330
485;LA NEUVILLE AUX LARRIS;51480
486;OGNES;51230
487;OIRY;51530
488;PARGNY SUR SAULX;51340
489;PRUNAY;51360
490;PUISIEULX;51500
491;QUEUDES;51120
492;RAPSECOURT;51330
493;REMICOURT;51330
494;REVEILLON;51310
495;ROMERY;51480
496;ST CHERON;51290
497;ST EULIEN;52100
498;STE GEMME;51700
499;ST HILAIRE LE GRAND;51600
500;ST LUMIER EN CHAMPAGNE;51300
501;SELLES SUR CHER;41130
502;SELOMMES;41100
503;SOINGS EN SOLOGNE;41230
504;SOUVIGNY EN SOLOGNE;41600
505;THESEE;41140
506;TOURAILLES;41190
507;TOUR EN SOLOGNE;41250
508;TROO;41800
509;VALAIRE;41120
510;VEILLEINS;41230
511;VIEVY LE RAYE;41290
512;VILLAVARD;41800
513;VILLEDIEU LE CHATEAU;41800
514;VILLEHERVIERS;41200
515;VILLEXANTON;41500
516;AMIONS;42260
517;BELLEROCHE;42670
518;CELLIEU;42320
519;LE CERGNE;42460
520;CHALAIN LE COMTAL;42600
521;CHAMBLES;42170
522;CHATELUS;42140
523;CHAZELLES SUR LAVIEU;42560
524;LE COTEAU;42120
525;COTTANCE;42360
526;CUINZIER;42460
527;DARGOIRE;42800
528;ECOTAY L OLME;42600
529;FOURNEAUX;42470
530;GRAMMOND;42140
531;LA GRESLE;42460
532;GUMIERES;42560
533;LAY;42470
534;LEZIGNEUX;42600
535;LURE;42260
